n,heapsort.ticks
150000,31474031
180000,38380972
210000,45349344
240000,52363188
270000,59420533
300000,66674560
330000,73961008
360000,81267792
390000,88585443
420000,95968555
450000,103342062
480000,110734059
510000,118137059
540000,125632418
570000,133239415
600000,140838704
630000,148498929
660000,156186041
690000,163851214
720000,171546741
750000,179232286
780000,186947276
810000,194676697
840000,202434022
870000,210215047
900000,217940458
930000,225704804
960000,233487413
990000,241260199
1020000,249003544
1050000,256784606
