n,heapsort.time
150000,116
180000,156
210000,179
240000,256
270000,268
300000,346
330000,387
360000,413
390000,429
420000,498
450000,549
480000,628
510000,653
540000,718
570000,741
600000,763
630000,806
660000,851
690000,897
720000,992
750000,1009
780000,1068
810000,1103
840000,1172
870000,1207
900000,1266
930000,1327
960000,1373
990000,1429
1020000,1502
1050000,1547
1080000,1623
1110000,1678
1140000,1883
1170000,1798
1200000,1868
1230000,1938
1260000,2073
1290000,2234
1320000,2124
1350000,2231
1380000,2260
1410000,2317
1440000,2881
1470000,2616
